대여번호,회원번호,도서번호,대여일,반납기한,반납일,반납상태,연체일수,연장횟수,별점
RENT0000000001,IDS00009,S000472,2024-08-27,2024-09-17,2024-09-03,정상,0,1,5
RENT0000000002,IDS00035,S000367,2025-03-14,2025-04-11,2025-04-05,정상,0,2,1
RENT0000000003,IDS00017,S000562,2024-09-06,2024-09-20,2024-09-19,정상,0,0,4
RENT0000000004,IDS00044,S000217,2025-07-03,2025-07-17,2025-07-21,연체,4,0,1
RENT0000000005,IDS00031,S000188,2025-01-24,2025-02-07,2025-02-09,연체,2,0,2
RENT0000000006,IDS00045,S000235,2025-06-26,2025-07-24,2025-07-30,연체,6,2,2
RENT0000000007,IDS00040,S000087,2025-02-10,2025-03-10,2025-02-20,정상,0,2,6
RENT0000000008,IDS00033,S000397,2024-08-12,2024-09-02,2024-09-08,연체,6,1,4
RENT0000000009,IDS00015,S000588,2024-07-09,2024-07-30,2024-07-28,정상,0,1,6
RENT0000000010,IDS00022,S000244,2025-01-05,2025-02-02,2025-01-17,정상,0,2,1
RENT0000000011,IDS00045,S000150,2024-08-26,2024-09-23,2024-09-09,정상,0,2,9
RENT0000000012,IDS00049,S000322,2025-04-04,2025-04-18,2025-04-10,정상,0,0,1
RENT0000000013,IDS00029,S000295,2025-04-16,2025-05-07,2025-04-26,정상,0,1,8
RENT0000000014,IDS00014,S000158,2024-12-17,2025-01-07,2024-12-19,정상,0,1,8
RENT0000000015,IDS00008,S000226,2024-10-07,2024-10-28,2024-11-01,연체,4,1,5
RENT0000000016,IDS00037,S000457,2024-12-11,2025-01-08,2024-12-11,정상,0,2,10
RENT0000000017,IDS00027,S000372,2025-04-07,2025-04-28,2025-04-26,정상,0,1,1
RENT0000000018,IDS00009,S000149,2024-07-09,2024-08-06,2024-08-07,연체,1,2,7
RENT0000000019,IDS00012,S000449,2025-06-03,2025-07-01,2025-06-25,정상,0,2,4
RENT0000000020,IDS00004,S000014,2025-02-18,2025-03-11,2025-03-19,연체,8,1,10
RENT0000000021,IDS00024,S000167,2025-06-13,2025-07-11,2025-07-08,정상,0,2,7
RENT0000000022,IDS00048,S000115,2024-11-04,2024-11-18,2024-11-13,정상,0,0,9
RENT0000000023,IDS00036,S000488,2025-05-06,2025-05-27,2025-05-13,정상,0,1,7
RENT0000000024,IDS00013,S000582,2025-04-09,2025-04-30,2025-04-30,정상,0,1,8
RENT0000000025,IDS00023,S000283,2025-02-15,2025-03-08,2025-02-16,정상,0,1,3
RENT0000000026,IDS00045,S000218,2024-11-13,2024-12-11,2024-12-10,정상,0,2,8
RENT0000000027,IDS00007,S000392,2025-01-13,2025-02-03,2025-02-03,정상,0,1,1
RENT0000000028,IDS00024,S000147,2025-04-18,2025-05-02,2025-05-07,연체,5,0,1
RENT0000000029,IDS00046,S000582,2024-10-07,2024-10-28,2024-10-23,정상,0,1,9
RENT0000000030,IDS00047,S000596,2024-09-26,2024-10-10,2024-10-13,연체,3,0,10
RENT0000000031,IDS00008,S000570,2025-02-27,2025-03-20,2025-03-08,정상,0,1,10
RENT0000000032,IDS00001,S000048,2024-11-09,2024-12-07,2024-11-20,정상,0,2,6
RENT0000000033,IDS00031,S000212,2025-02-28,2025-03-14,2025-03-13,정상,0,0,8
RENT0000000034,IDS00012,S000146,2025-02-17,2025-03-03,2025-02-19,정상,0,0,8
RENT0000000035,IDS00042,S000581,2025-03-14,2025-03-28,2025-03-23,정상,0,0,5
RENT0000000036,IDS00041,S000090,2025-05-01,2025-05-29,2025-05-04,정상,0,2,1
RENT0000000037,IDS00045,S000562,2025-03-04,2025-04-01,2025-03-14,정상,0,2,4
RENT0000000038,IDS00012,S000371,2025-04-02,2025-04-16,2025-04-15,정상,0,0,1
RENT0000000039,IDS00042,S000051,2024-07-25,2024-08-08,2024-08-10,연체,2,0,10
RENT0000000040,IDS00020,S000174,2025-07-01,2025-07-29,2025-07-26,정상,0,2,9
RENT0000000041,IDS00034,S000076,2024-08-15,2024-08-29,2024-08-26,정상,0,0,3
RENT0000000042,IDS00009,S000055,2024-07-07,2024-08-04,2024-07-26,정상,0,2,6
RENT0000000043,IDS00030,S000502,2025-03-12,2025-04-09,2025-04-08,정상,0,2,4
RENT0000000044,IDS00003,S000386,2024-11-24,2024-12-15,2024-11-25,정상,0,1,4
RENT0000000045,IDS00017,S000139,2025-03-19,2025-04-09,2025-03-21,정상,0,1,4
RENT0000000046,IDS00013,S000521,2025-05-27,2025-06-17,2025-06-21,연체,4,1,3
RENT0000000047,IDS00008,S000324,2025-07-08,2025-07-22,2025-07-11,정상,0,0,5
RENT0000000048,IDS00047,S000282,2024-09-15,2024-09-29,2024-09-21,정상,0,0,8
RENT0000000049,IDS00015,S000424,2024-07-18,2024-08-08,2024-08-12,연체,4,1,2
RENT0000000050,IDS00029,S000007,2025-06-01,2025-06-15,2025-06-02,정상,0,0,8
RENT0000000051,IDS00050,S000171,2024-11-03,2024-12-01,2024-11-03,정상,0,2,9
